covariate,coef,exp(coef),p
ProductsPerTenureYear,4.056170623727997,57.752730156864594,8.074592935354018e-301
NumOfProducts,-0.8633837226523252,0.4217326389779864,2.9335062152132253e-73
Age,0.03543250693214252,1.0360677183793832,1.0906575012270533e-35
Geography_Germany,0.4727229421982214,1.6043568218202124,1.241508130098028e-18
Gender_Male,-0.34383848596303757,0.7090434392699353,3.868351223322657e-15
IsSeniorCustomer,0.33359199315954885,1.395973460644111,2.1068091499573864e-05
IsActiveMember,-0.4575929439760367,0.6328050108799603,0.00020677780458922863
CreditScore,-0.0005527777798479519,0.9994473749736414,0.012151571055192092
BalanceSalaryRatio,0.00024152968198409364,1.0002415588526261,0.022573639240761625
Balance,1.5651226435238881e-06,1.0000015651238683,0.02858646801048291
EngagementScore,-0.12021071094402183,0.8867335725625172,0.04671738765565625
ZeroBalance,-0.159988576235527,0.8521535237117572,0.14152352593944306
HasCrCard,0.10377699507257505,1.1093530361354924,0.16377894639334667
Geography_Spain,0.056032379609960443,1.057631928891525,0.3368413711532842
EstimatedSalary,2.822143029643987e-07,1.0000002822143428,0.4526536185393977
